id,name,group,created_at,updated_at,alt_names,company_count
91,Consumer Services,"org, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Consumer Services""}",376544
92,Transportation/Trucking/Railroad,tran,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Transportation/Trucking/Railroad,""Truck Transportation""}",346565
93,Warehousing,tran,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Warehousing,""Warehousing and Storage"",""Warehousing and Warehousing""}",38063
94,Airlines/Aviation,"man, tech, tran",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Airlines/Aviation,""Airlines and Aviation""}",68092
95,Maritime,tran,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Maritime,""Maritime Transportation""}",72850
96,Information Technology and Services,tech,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Information Technology and Services"",""Information Technology & Services"",""IT Services and IT Consulting""}",1538761
97,Market Research,corp,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Market Research""}",46714
98,Public Relations and Communications,corp,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Public Relations and Communications"",""Public Relations"",""Public Relations & Communications"",""Public Relations and Communications Services""}",127745
99,Design,"art, med",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Design,""Design Services""}",683962
100,Non-Profit Organization Management,org,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Non-Profit Organization Management"",""Nonprofit Organization Management"",""Non-profit Organization Management"",""Non-profit Organizations""}",290974
101,Fund-Raising,org,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Fund-Raising,Fundraising}",27512
102,Program Development,"corp, org",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Program Development"",""Strategic Management Services""}",41871
103,Writing and Editing,"art, med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Writing and Editing"",""Writing & Editing""}",77891
72,Legislative Office,"gov, leg",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Legislative Office"",""Legislative Offices""}",1667
104,Staffing and Recruiting,corp,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Staffing and Recruiting"",""Staffing & Recruiting""}",229657
105,Professional Training & Coaching,corp,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Professional Training & Coaching"",""Professional Training"",""Professional Training and Coaching"",""Business Skills Training""}",335932
107,Political Organization,"gov, org",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Political Organization"",""Political Organizations""}",23790
108,Translation and Localization,"corp, gov, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Translation and Localization"",""Translation & Localization""}",34236
109,Computer Games,"med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Computer Games""}",54098
110,Events Services,"corp, rec, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Events Services""}",239119
111,Arts and Crafts,"art, med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Arts and Crafts"",""Arts & Crafts"",""Retail Art Supplies""}",107945
112,Electrical/Electronic Manufacturing,"good, man",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Electrical & Electronic Manufacturing"",""Electrical/Electronic Manufacturing"",""Appliances, Electrical, and Electronics Manufacturing""}",441182
113,Online Media,med,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Online Media"",""Online Publishing"",""Online Audio and Video Media""}",132287
115,Music,"art, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Music,Musicians}",181752
118,Computer & Network Security,tech,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Computer & Network Security"",""Computer and Network Security""}",65733
119,Wireless,tech,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Wireless,""Wireless Services""}",32578
120,Alternative Dispute Resolution,"leg, org",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Alternative Dispute Resolution""}",9010
121,Security and Investigations,"corp, org, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Security and Investigations"",""Security & Investigations""}",114126
122,Facilities Services,"corp, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Facilities Services""}",264211
123,Outsourcing/Offshoring,corp,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Outsourcing/Offshoring,""Outsourcing and Offshoring Consulting""}",50375
124,"Health, Wellness and Fitness","hlth, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Health, Wellness and Fitness"",""Health, Wellness & Fitness"",""Wellness and Fitness Services""}",648929
125,Alternative Medicine,hlth,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Alternative Medicine""}",31530
126,Media Production,"med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Media Production""}",233096
